Payment Order ID,Date,Payer Name,Payer Email,Payee Name,Payee Type,Payee Email,Payee IBAN,Amount,Currency,Payment Type,Status,Reference
PO-0001,2025-07-07,Emily Davis,emily.davis@skynet.be,Supplier 764,Supplier,,BE98353747619919,15660.4,EUR,Wire Transfer,Completed,Invoice 91402
PO-0002,2025-05-14,Tom Taylor,tom.taylor@proximus.be,Anna Davis,Customer,anna.davis@proximus.be,BE48511431334464,3402.37,USD,Cheque,Pending,Invoice 61187
PO-0003,2025-06-19,Chris Smith,chris.smith@hotmail.com,Tom Davis,Customer,tom.davis@hotmail.com,BE74461621800956,18648.23,GBP,SEPA Credit,Failed,Invoice 34142
PO-0004,2025-04-06,Laura Taylor,laura.taylor@skynet.be,Supplier 905,Supplier,,BE96087475961128,141.99,GBP,Direct Debit,Failed,Invoice 92675
PO-0005,2024-03-25,Jane Williams,jane.williams@telenet.be,Supplier 896,Supplier,,BE69560523112919,9153.49,GBP,Standing Order,Cancelled,Invoice 45841
PO-0006,2024-02-07,Robert Brown,robert.brown@telenet.be,Katie Williams,Customer,katie.williams@gmail.com,BE04503045844686,19478.95,GBP,Cheque,Cancelled,Invoice 40672
PO-0007,2024-12-11,Katie Brown,katie.brown@hotmail.com,Supplier 660,Supplier,,BE35554512400810,6014.97,EUR,Wire Transfer,Pending,Invoice 96561
PO-0008,2024-10-20,Emily Williams,emily.williams@hotmail.com,Supplier 986,Supplier,,BE51461921548803,15311.43,USD,Cheque,Cancelled,Invoice 54349
PO-0009,2024-03-27,Tom Walker,tom.walker@hotmail.com,Supplier 763,Supplier,,BE82820099771498,11428.94,GBP,Direct Debit,Completed,Invoice 76446
PO-0010,2024-09-17,Chris Taylor,chris.taylor@skynet.be,John Miller,Customer,john.miller@gmail.com,BE22227610292508,10523.35,GBP,Direct Debit,Completed,Invoice 20595
PO-0011,2024-03-04,Tom Smith,tom.smith@telenet.be,Jane Brown,Customer,jane.brown@gmail.com,BE20007645650067,19686.97,EUR,Standing Order,Failed,Invoice 76763
PO-0012,2025-03-19,Emily Brown,emily.brown@gmail.com,Laura Clark,Customer,laura.clark@skynet.be,BE82459088038536,5669.56,GBP,Direct Debit,Pending,Invoice 45654
PO-0013,2025-09-13,Linda Garcia,linda.garcia@proximus.be,Jane Smith,Customer,jane.smith@proximus.be,BE24959364193520,13990.49,GBP,Cheque,Completed,Invoice 54040
PO-0014,2025-08-03,Michael Lewis,michael.lewis@skynet.be,Katie Walker,Customer,katie.walker@hotmail.com,BE96683800149726,1632.0,USD,Cheque,Completed,Invoice 64429
PO-0015,2024-06-21,Jane Brown,jane.brown@gmail.com,Linda Johnson,Customer,linda.johnson@proximus.be,BE13463670634530,12595.45,USD,Cheque,Completed,Invoice 93169
PO-0016,2024-02-27,Tom Brown,tom.brown@gmail.com,Laura Garcia,Customer,laura.garcia@hotmail.com,BE56487721436679,3111.73,GBP,SEPA Credit,Failed,Invoice 85763
PO-0017,2024-05-22,Robert Lewis,robert.lewis@skynet.be,Supplier 986,Supplier,,BE82303503108127,8126.09,GBP,Direct Debit,Pending,Invoice 52536
PO-0018,2025-03-19,Chris Taylor,chris.taylor@skynet.be,Supplier 247,Supplier,,BE82031028017976,3813.03,GBP,Direct Debit,Failed,Invoice 65187
PO-0019,2024-02-15,John Williams,john.williams@proximus.be,Emily Miller,Customer,emily.miller@telenet.be,BE87117272396539,7724.32,USD,Cheque,Completed,Invoice 39167
PO-0020,2025-05-09,Katie Taylor,katie.taylor@telenet.be,Linda Lewis,Customer,linda.lewis@hotmail.com,BE02868676194043,17207.26,GBP,Cheque,Failed,Invoice 35637
PO-0021,2024-11-04,Alex Brown,alex.brown@telenet.be,Supplier 776,Supplier,,BE88163024808785,5990.53,EUR,Cheque,Completed,Invoice 45778
PO-0022,2025-02-09,Katie Williams,katie.williams@gmail.com,Jane Brown,Customer,jane.brown@gmail.com,BE30230678905245,2823.53,EUR,Wire Transfer,Failed,Invoice 68931
PO-0023,2025-01-19,Michael Miller,michael.miller@telenet.be,Supplier 780,Supplier,,BE01100928450269,8961.57,GBP,SEPA Credit,Pending,Invoice 94728
PO-0024,2024-03-09,Jane Clark,jane.clark@hotmail.com,Supplier 622,Supplier,,BE54468028463552,19138.94,GBP,Cheque,Completed,Invoice 47424
PO-0025,2025-05-21,Alex Brown,alex.brown@telenet.be,Supplier 660,Supplier,,BE39756432451850,1261.82,EUR,Direct Debit,Failed,Invoice 70342
PO-0026,2024-06-08,John Clark,john.clark@skynet.be,Supplier 905,Supplier,,BE74789823599435,7056.31,GBP,Standing Order,Cancelled,Invoice 22987
PO-0027,2024-04-13,Robert Williams,robert.williams@skynet.be,Supplier 559,Supplier,,BE26384761084331,1711.65,EUR,Direct Debit,Cancelled,Invoice 62296
PO-0028,2024-12-24,Michael Davis,michael.davis@hotmail.com,Laura Clark,Customer,laura.clark@skynet.be,BE77730114283751,6001.21,EUR,Direct Debit,Pending,Invoice 47507
PO-0029,2024-02-10,Alex Clark,alex.clark@telenet.be,Tom Jones,Customer,tom.jones@proximus.be,BE14504727316687,19031.16,USD,Standing Order,Pending,Invoice 57363
PO-0030,2025-01-08,Laura Jones,laura.jones@gmail.com,Jane Williams,Customer,jane.williams@telenet.be,BE10354374326877,5663.11,GBP,Direct Debit,Cancelled,Invoice 82065
PO-0031,2025-06-23,Michael Clark,michael.clark@gmail.com,Supplier 558,Supplier,,BE27905874889097,1382.38,GBP,Wire Transfer,Failed,Invoice 44996
PO-0032,2025-07-09,Katie Johnson,katie.johnson@gmail.com,Supplier 823,Supplier,,BE09018259949189,17784.48,USD,Cheque,Pending,Invoice 30990
PO-0033,2025-06-14,Jane Walker,jane.walker@gmail.com,Supplier 558,Supplier,,BE49479404696508,11917.95,GBP,Wire Transfer,Failed,Invoice 38294
PO-0034,2024-01-05,Alex Smith,alex.smith@hotmail.com,Chris Garcia,Customer,chris.garcia@skynet.be,BE55211637582484,5835.07,EUR,Cheque,Completed,Invoice 51551
PO-0035,2024-06-29,Linda Johnson,linda.johnson@proximus.be,Tom Taylor,Customer,tom.taylor@proximus.be,BE95028858713895,6211.12,GBP,Direct Debit,Cancelled,Invoice 76047
PO-0036,2025-07-25,Michael Garcia,michael.garcia@gmail.com,Supplier 776,Supplier,,BE12542332970185,6983.16,GBP,Cheque,Cancelled,Invoice 90705
PO-0037,2024-08-29,Laura Lewis,laura.lewis@gmail.com,Supplier 169,Supplier,,BE33063282044365,18124.22,GBP,SEPA Credit,Failed,Invoice 23749
PO-0038,2025-03-04,Linda Lewis,linda.lewis@hotmail.com,Supplier 207,Supplier,,BE01390286750206,19335.18,USD,Wire Transfer,Completed,Invoice 23294
PO-0039,2024-07-12,Alex Garcia,alex.garcia@proximus.be,Supplier 395,Supplier,,BE79305077681650,7626.81,USD,SEPA Credit,Failed,Invoice 91122
PO-0040,2025-07-11,Tom Clark,tom.clark@gmail.com,Supplier 776,Supplier,,BE96081490396036,2090.09,USD,Direct Debit,Completed,Invoice 11653
PO-0041,2024-02-26,Linda Jones,linda.jones@telenet.be,John Clark,Customer,john.clark@skynet.be,BE87842485182330,14825.92,EUR,Standing Order,Pending,Invoice 31887
PO-0042,2025-05-27,Linda Clark,linda.clark@proximus.be,Supplier 403,Supplier,,BE52643098755719,1688.66,EUR,Cheque,Cancelled,Invoice 19635
PO-0043,2025-09-17,Chris Miller,chris.miller@telenet.be,Supplier 618,Supplier,,BE80582912908245,9358.8,USD,Wire Transfer,Pending,Invoice 76702
PO-0044,2024-11-18,Anna Jones,anna.jones@telenet.be,Linda Smith,Customer,linda.smith@proximus.be,BE53593275502493,6242.15,EUR,Standing Order,Pending,Invoice 19212
PO-0045,2025-09-10,Emily Davis,emily.davis@skynet.be,Linda Jones,Customer,linda.jones@telenet.be,BE67444659467183,11581.29,EUR,Wire Transfer,Failed,Invoice 64571
PO-0046,2024-09-10,Alex Walker,alex.walker@gmail.com,Anna Miller,Customer,anna.miller@gmail.com,BE70638507922122,15662.86,EUR,Wire Transfer,Pending,Invoice 29986
PO-0047,2025-04-17,Laura Jones,laura.jones@gmail.com,Supplier 186,Supplier,,BE35825771477528,1531.94,GBP,Direct Debit,Failed,Invoice 45297
PO-0048,2025-05-03,John Smith,john.smith@hotmail.com,Chris Brown,Customer,chris.brown@skynet.be,BE98786655649031,15734.05,USD,Cheque,Pending,Invoice 72193
PO-0049,2024-11-01,Alex Brown,alex.brown@telenet.be,Supplier 207,Supplier,,BE59083717722036,18071.87,GBP,Direct Debit,Failed,Invoice 38719
PO-0050,2024-09-23,Robert Taylor,robert.taylor@proximus.be,Supplier 702,Supplier,,BE59194581998314,1955.82,GBP,SEPA Credit,Pending,Invoice 25903
PO-0051,2025-07-18,Jane Taylor,jane.taylor@hotmail.com,Supplier 823,Supplier,,BE66457893762209,17054.19,USD,Cheque,Cancelled,Invoice 22643
PO-0052,2025-04-29,Robert Williams,robert.williams@skynet.be,Laura Lewis,Customer,laura.lewis@gmail.com,BE63218204726380,12497.55,EUR,Wire Transfer,Cancelled,Invoice 44350
PO-0053,2024-06-06,Laura Taylor,laura.taylor@skynet.be,Supplier 462,Supplier,,BE35956027639260,5406.94,GBP,Standing Order,Completed,Invoice 32106
PO-0054,2025-07-18,Katie Walker,katie.walker@hotmail.com,Supplier 186,Supplier,,BE12538538900480,2792.05,USD,Wire Transfer,Completed,Invoice 79409
PO-0055,2025-01-30,Tom Lewis,tom.lewis@telenet.be,Supplier 247,Supplier,,BE48799249377819,2982.74,USD,Cheque,Cancelled,Invoice 13884
PO-0056,2024-01-24,Tom Brown,tom.brown@gmail.com,Emily Williams,Customer,emily.williams@hotmail.com,BE48997538066362,8511.65,EUR,Wire Transfer,Completed,Invoice 10885
PO-0057,2024-11-21,John Williams,john.williams@proximus.be,Anna Jones,Customer,anna.jones@telenet.be,BE42880245479679,13575.9,GBP,SEPA Credit,Pending,Invoice 11129
PO-0058,2024-10-07,Tom Williams,tom.williams@skynet.be,Supplier 656,Supplier,,BE47479025180366,7926.62,EUR,Standing Order,Cancelled,Invoice 85359
PO-0059,2024-05-10,John Taylor,john.taylor@gmail.com,Supplier 287,Supplier,,BE21065954702922,18186.94,USD,SEPA Credit,Pending,Invoice 19801
PO-0060,2024-10-26,Jane Walker,jane.walker@gmail.com,Supplier 104,Supplier,,BE85053574033212,9062.55,EUR,Cheque,Failed,Invoice 23222
