Customer Name,Product/Service Name,Product Type,Relationship Type,Status,Start Date,Last Interaction Date
Alex Williams,Mobile Banking,Mobile Banking,User,Active,2021-12-25,2025-03-02
Anna Williams,Life Insurance,Life Insurance,Subscriber,Inactive,2021-10-03,2025-08-17
Chris Williams,Life Insurance,Life Insurance,Subscriber,Active,2023-12-27,2024-12-27
Chris Williams,Investment Portfolio,Investment Portfolio,Investor,Inactive,2020-06-02,2024-11-05
Chris Williams,Savings Account,Savings Account,Holder,Active,2020-05-15,2025-06-25
Emily Williams,Travel Insurance,Travel Insurance,Subscriber,Inactive,2022-01-13,2025-08-24
Emily Williams,Current Account,Current Account,Holder,Active,2023-05-04,2025-07-30
Emily Williams,Mortgage,Mortgage,Borrower,Active,2020-11-22,2025-08-11
Jane Williams,Investment Portfolio,Investment Portfolio,Investor,Inactive,2022-02-12,2025-01-12
Jane Williams,Travel Insurance,Travel Insurance,Subscriber,Active,2022-08-29,2024-12-24
John Williams,Mobile Banking,Mobile Banking,User,Inactive,2023-11-16,2025-02-28
John Williams,Online Banking,Online Banking,User,Active,2024-07-31,2025-03-24
Katie Williams,Investment Portfolio,Investment Portfolio,Investor,Active,2025-02-24,2025-05-27
Katie Williams,Credit Card,Credit Card,Cardholder,Inactive,2022-07-16,2025-02-22
Laura Williams,Savings Account,Savings Account,Holder,Inactive,2021-10-13,2025-04-18
Laura Williams,Personal Loan,Personal Loan,Borrower,Active,2022-04-11,2025-05-11
Linda Williams,Personal Loan,Personal Loan,Borrower,Active,2020-10-17,2025-03-06
Michael Williams,Credit Card,Credit Card,Cardholder,Inactive,2022-11-15,2025-02-15
Michael Williams,Travel Insurance,Travel Insurance,Subscriber,Inactive,2022-09-07,2025-03-06
Robert Williams,Savings Account,Savings Account,Holder,Inactive,2024-11-28,2024-12-20
Robert Williams,Life Insurance,Life Insurance,Subscriber,Active,2020-04-17,2025-04-09
Robert Williams,Mobile Banking,Mobile Banking,User,Active,2022-12-13,2025-08-08
Tom Williams,Personal Loan,Personal Loan,Borrower,Active,2020-10-18,2025-08-25
Alex Walker,Life Insurance,Life Insurance,Subscriber,Active,2025-02-08,2025-01-24
Anna Walker,Current Account,Current Account,Holder,Inactive,2023-11-25,2025-04-24
Chris Walker,Life Insurance,Life Insurance,Subscriber,Active,2023-08-04,2025-01-04
Emily Walker,Life Insurance,Life Insurance,Subscriber,Active,2022-03-17,2024-10-23
Jane Walker,Investment Portfolio,Investment Portfolio,Investor,Inactive,2024-06-30,2025-01-06
Jane Walker,Life Insurance,Life Insurance,Subscriber,Active,2021-04-12,2025-05-26
John Walker,Credit Card,Credit Card,Cardholder,Active,2023-01-26,2024-11-07
Katie Walker,Life Insurance,Life Insurance,Subscriber,Active,2020-08-09,2024-12-09
Katie Walker,Online Banking,Online Banking,User,Inactive,2023-06-03,2025-09-04
Laura Walker,Mortgage,Mortgage,Borrower,Active,2022-02-28,2025-05-09
Laura Walker,Personal Loan,Personal Loan,Borrower,Active,2021-02-24,2025-02-10
Linda Walker,Personal Loan,Personal Loan,Borrower,Inactive,2025-05-15,2025-01-05
Michael Walker,Investment Portfolio,Investment Portfolio,Investor,Inactive,2021-07-05,2025-01-19
Michael Walker,Personal Loan,Personal Loan,Borrower,Inactive,2020-09-24,2024-11-22
Michael Walker,Online Banking,Online Banking,User,Active,2024-07-07,2025-01-27
Robert Walker,Credit Card,Credit Card,Cardholder,Active,2022-11-08,2024-11-08
Robert Walker,Personal Loan,Personal Loan,Borrower,Inactive,2023-04-08,2025-06-16
Robert Walker,Investment Portfolio,Investment Portfolio,Investor,Active,2022-03-19,2024-11-01
Tom Walker,Life Insurance,Life Insurance,Subscriber,Inactive,2024-11-10,2025-08-07
Alex Taylor,Life Insurance,Life Insurance,Subscriber,Inactive,2022-09-22,2025-07-28
Alex Taylor,Mortgage,Mortgage,Borrower,Active,2023-03-07,2025-02-03
Anna Taylor,Personal Loan,Personal Loan,Borrower,Active,2022-04-13,2025-05-08
Anna Taylor,Mobile Banking,Mobile Banking,User,Active,2020-05-30,2025-01-11
Anna Taylor,Credit Card,Credit Card,Cardholder,Inactive,2021-06-19,2025-09-05
Chris Taylor,Investment Portfolio,Investment Portfolio,Investor,Inactive,2022-12-12,2025-07-28
Chris Taylor,Current Account,Current Account,Holder,Inactive,2024-10-02,2024-11-05
Emily Taylor,Personal Loan,Personal Loan,Borrower,Active,2023-11-03,2025-03-07
Jane Taylor,Current Account,Current Account,Holder,Active,2021-06-02,2025-04-15
Jane Taylor,Personal Loan,Personal Loan,Borrower,Active,2023-08-22,2024-10-06
Jane Taylor,Investment Portfolio,Investment Portfolio,Investor,Inactive,2022-11-24,2025-01-24
John Taylor,Personal Loan,Personal Loan,Borrower,Inactive,2022-10-24,2025-05-22
John Taylor,Current Account,Current Account,Holder,Inactive,2021-01-25,2025-03-31
John Taylor,Online Banking,Online Banking,User,Inactive,2024-02-13,2025-03-19
Katie Taylor,Current Account,Current Account,Holder,Inactive,2024-07-31,2025-06-22
Katie Taylor,Online Banking,Online Banking,User,Inactive,2020-05-29,2025-05-04
Katie Taylor,Savings Account,Savings Account,Holder,Inactive,2020-09-25,2025-01-08
Laura Taylor,Mortgage,Mortgage,Borrower,Active,2021-10-04,2024-12-19
Laura Taylor,Mobile Banking,Mobile Banking,User,Active,2022-01-26,2024-11-03
Laura Taylor,Life Insurance,Life Insurance,Subscriber,Active,2024-09-08,2024-11-18
Linda Taylor,Investment Portfolio,Investment Portfolio,Investor,Inactive,2023-12-04,2025-03-04
Linda Taylor,Personal Loan,Personal Loan,Borrower,Inactive,2021-06-25,2025-03-26
Linda Taylor,Online Banking,Online Banking,User,Inactive,2024-07-19,2024-12-16
Michael Taylor,Investment Portfolio,Investment Portfolio,Investor,Active,2020-08-27,2025-07-29
Michael Taylor,Credit Card,Credit Card,Cardholder,Inactive,2023-03-14,2025-01-17
Robert Taylor,Investment Portfolio,Investment Portfolio,Investor,Inactive,2025-04-14,2025-03-20
Robert Taylor,Online Banking,Online Banking,User,Inactive,2022-12-27,2025-02-02
Tom Taylor,Credit Card,Credit Card,Cardholder,Active,2020-05-24,2025-07-28
Tom Taylor,Travel Insurance,Travel Insurance,Subscriber,Inactive,2022-06-21,2024-11-06
Tom Taylor,Savings Account,Savings Account,Holder,Active,2023-02-14,2024-10-10
Alex Smith,Online Banking,Online Banking,User,Active,2021-06-11,2024-11-29
Alex Smith,Current Account,Current Account,Holder,Inactive,2022-12-19,2025-03-17
Anna Smith,Online Banking,Online Banking,User,Active,2021-08-08,2024-10-06
Anna Smith,Travel Insurance,Travel Insurance,Subscriber,Active,2021-12-12,2024-12-21
Anna Smith,Mobile Banking,Mobile Banking,User,Inactive,2020-12-01,2025-08-01
Chris Smith,Current Account,Current Account,Holder,Inactive,2022-11-06,2025-09-07
Chris Smith,Personal Loan,Personal Loan,Borrower,Inactive,2024-06-23,2025-06-03
Emily Smith,Online Banking,Online Banking,User,Active,2020-05-15,2025-08-07
Emily Smith,Investment Portfolio,Investment Portfolio,Investor,Active,2021-07-16,2025-07-09
Emily Smith,Personal Loan,Personal Loan,Borrower,Active,2021-08-04,2024-10-19
Jane Smith,Mortgage,Mortgage,Borrower,Active,2024-09-30,2025-06-08
Jane Smith,Mobile Banking,Mobile Banking,User,Inactive,2021-09-04,2025-04-26
John Smith,Online Banking,Online Banking,User,Active,2023-03-13,2024-09-25
Katie Smith,Mobile Banking,Mobile Banking,User,Active,2022-11-04,2025-05-18
Katie Smith,Current Account,Current Account,Holder,Active,2022-09-24,2025-04-12
Katie Smith,Investment Portfolio,Investment Portfolio,Investor,Active,2021-03-07,2025-01-02
Laura Smith,Credit Card,Credit Card,Cardholder,Active,2024-05-05,2025-04-14
Laura Smith,Current Account,Current Account,Holder,Inactive,2020-07-12,2025-06-21
Linda Smith,Investment Portfolio,Investment Portfolio,Investor,Active,2025-01-09,2025-02-28
Linda Smith,Mortgage,Mortgage,Borrower,Active,2021-10-01,2024-10-16
Linda Smith,Savings Account,Savings Account,Holder,Inactive,2024-02-28,2025-06-26
Michael Smith,Mobile Banking,Mobile Banking,User,Active,2024-10-04,2025-07-05
Michael Smith,Life Insurance,Life Insurance,Subscriber,Inactive,2025-03-13,2024-12-29
Robert Smith,Online Banking,Online Banking,User,Inactive,2020-08-27,2024-11-20
Robert Smith,Travel Insurance,Travel Insurance,Subscriber,Inactive,2023-10-16,2025-02-21
Robert Smith,Savings Account,Savings Account,Holder,Active,2023-03-07,2024-10-26
Tom Smith,Investment Portfolio,Investment Portfolio,Investor,Inactive,2020-08-22,2025-04-07
Tom Smith,Mortgage,Mortgage,Borrower,Active,2023-08-21,2025-01-20
Alex Miller,Mobile Banking,Mobile Banking,User,Active,2023-09-30,2024-11-30
Alex Miller,Life Insurance,Life Insurance,Subscriber,Active,2023-08-04,2025-01-29
Alex Miller,Mortgage,Mortgage,Borrower,Active,2021-02-15,2025-04-10
